Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
10;34793;Unknown (Agro Forestry Research);12;Agro Forestry Research;Parent company;;;;;;
11;34795;Amira Pure Foods Private Limited;14;Amira Nature Foods Ltd (ANFIF);Parent company;Shares/Equity;100.0;;;;
13;34801;Unknown (Bon Bon World Investments and Consulting Group Ltd., New York);20;Bon Bon World Investments and Consulting Group Ltd., New York;Parent company;;;;;;
16;34806;Carmadeno Venture (Cambodia) Limited;25;Carmadeno Venture Limited;Parent company;;;;;;
17;34808;Central First Company Limited;27;Central First Company;Parent company;;;;;;
18;34809;Unknown (China National Corporation for Overseas Economic Cooperation Laod Star Development);28;China National Corporation for Overseas Economic Cooperation Laod Star Development;Parent company;;;;;;
20;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);79;Men Sarun Co. Ltd.;Parent company;;;;;;
21;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);2371;Rama Khmer International;Parent company;;;;;;
22;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);42;Global Tech Sdn.;Parent company;;;;;;
25;34812;CIV Development Agro Industry Company;31;CIV Development Company;Parent company;Shares/Equity;;;;;
26;34842;Unknown (Kapa Ltd);66;Kapa Ltd;Parent company;;;;;;
27;34858;Mong Reththy Investment Cassava Cambodia Co., Ltd;2319;Mong Reththy;Parent company;;;;;;
28;34847;Unknown (Kuwait China Investment Company (KCIC));71;Kuwait China Investment Company (KCIC);Parent company;;;;;;
29;34850;Leopard Capital Cambodia;2291;Leopard Capital;Parent company;;;;;;
30;34854;Men Sarun Import Export;79;Men Sarun Co. Ltd.;Parent company;;;;;;
36;34885;(Cambodia) Tong Min Group Engineering Co., Ltd.;11;China Asean Resources Ltd.;Parent company;;;;;;
39;34907;Yunnan Shenyu New Energy Co. Ltd.;2915;China Sandi Holdings Limited;Parent company;;;;;;
41;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;138;Asahi Breweries Ltd;Parent company;;;;;;
42;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;140;Sumitomo Chemical Company Ltd.;Parent company;;;;;;
43;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;139;Itochu Corporation;Parent company;;;;;;
44;34912;Green Future Innovations Inc. (GFII);2549;JGC Holdings Corporation;Parent company;Shares/Equity;;;;;
45;34912;Green Future Innovations Inc. (GFII);2550;Philippine Bioethanol and Energy Investments Corporation;Parent company;Shares/Equity;;;;;
